Средняя,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,год,,
1967,-1.4,1.7,10.2,25.5,26.0,28.5,30.5,28.4,25.2,17.5,10.2,3.7,30.5
1968,0.2,4.0,6.0,20.6,28.0,30.9,28.4,26.8,23.4,14.4,5.9,3.3,30.9
1969,-11.2,-0.3,3.4,21.2,21.5,31.7,28.4,27.7,28.2,8.7,7.4,1.4,31.7
1970,-1.1,6.2,6.9,22.3,28.3,29.6,30.4,27.5,24.4,12.2,0.3,-0.7,30.4
1971,5.6,-4.8,11.0,19.7,27.1,31.1,35.0,28.0,26.2,13.5,6.6,1.2,35.0
1972,-8.3,-0.5,5.8,24.9,30.7,30.5,31.5,32.0,23.8,12.6,3.7,2.1,32.0
1973,-2.4,2.0,8.7,24.1,28.2,31.3,29.9,26.9,19.3,14.2,4.6,2.2,31.3
1974,-1.2,1.1,5.9,20.2,29.2,28.2,33.3,30.1,25.5,22.5,2.9,-0.5,33.3
1975,-0.4,5.0,13.6,27.7,27.3,33.1,33.2,30.9,27.0,13.6,4.2,-2.4,33.2
1976,0.8,0.4,8.0,23.5,28.8,30.3,28.3,30.9,29.3,4.5,2.6,4.6,30.9
1977,-6.4,0.2,13.7,28.0,30.3,30.9,30.0,30.0,27.2,19.0,0.0,-0.5,30.9
1978,3.4,4.3,15.8,18.6,25.4,30.6,29.3,29.6,21.6,12.7,2.2,-0.4,30.6
1979,-0.6,0.4,8.8,16.6,28.0,25.4,28.8,30.2,29.1,17.8,6.0,5.3,30.2
1980,-3.3,-0.7,5.3,20.2,30.5,30.7,31.4,24.5,23.5,15.4,4.6,1.3,31.4
1981,2.8,7.3,10.5,14.5,27.3,29.4,31.9,33.0,27.8,16.5,8.2,2.9,33.0
1982,-1.6,-1.0,3.3,28.5,24.3,32.3,32.2,31.5,31.4,18.8,3.4,5.9,32.3
1983,2.1,2.2,14.4,21.0,25.0,26.9,31.0,29.8,18.3,17.3,4.8,2.2,31.0
1984,1.9,2.2,7.9,15.6,28.3,30.4,30.3,27.2,25.0,21.0,2.3,-6.2,30.4
1985,3.2,-4.3,10.1,22.7,26.9,30.9,29.0,29.3,25.8,12.6,6.5,-0.6,30.9
1986,-0.1,-2.4,10.3,24.7,24.7,27.7,28.8,27.0,22.4,14.9,5.0,-0.5,28.8
1987,-5.4,3.6,9.6,10.7,28.4,34.7,31.8,32.3,19.7,12.9,5.8,-2.0,34.7
1988,4.9,5.5,14.2,17.8,25.4,33.0,34.3,32.4,22.0,18.7,2.5,2.4,34.3
1989,-0.8,2.2,9.6,14.9,27.0,32.2,36.3,24.8,24.3,16.7,6.7,8.6,36.3
1990,0.5,6.1,12.4,16.9,25.3,34.8,29.5,30.1,18.7,11.8,4.5,1.6,34.8
1991,0.8,1.8,4.4,27.3,30.7,35.6,31.6,25.2,23.9,24.4,6.2,0.5,35.6
1992,2.4,0.0,14.3,20.4,27.1,28.8,30.9,24.9,26.7,16.1,4.6,1.4,30.9
1993,0.7,-1.6,6.0,18.9,25.6,30.9,29.3,27.4,20.2,15.2,-0.5,-0.3,30.9
1994,-0.1,-0.9,6.2,18.9,29.2,29.1,25.9,25.3,25.9,18.8,5.5,4.7,29.2
1995,4.9,3.3,16.9,28.8,28.5,32.6,36.2,30.5,30.3,21.3,5.9,3.3,36.2
1996,-6.8,1.5,7.3,11.2,29.6,32.4,31.8,27.5,25.0,17.0,10.3,2.1,32.4
1997,-9.0,7.9,7.5,17.4,30.0,31.5,27.0,29.9,23.4,22.7,7.4,1.0,31.5
1998,-2.7,2.5,6.5,12.7,29.0,33.1,31.9,32.6,26.0,16.0,5.0,2.0,33.1
1999,2.2,4.0,7.0,24.0,28.3,29.0,31.1,26.8,22.0,22.3,7.5,1.5,31.1
2000,-0.6,4.1,8.2,25.2,26.1,32.7,31.5,33.5,25.7,9.2,5.4,2.0,33.5
2001,-1.0,-3.1,8.5,23.6,27.4,23.8,30.1,34.3,20.6,12.5,5.8,-1.6,34.3
2002,1.8,4.2,9.3,17.7,24.5,27.3,31.6,27.8,25.7,12.8,5.3,-3.9,31.6
2003,0.1,-0.6,9.2,18.3,26.8,28.7,28.8,33.2,31.9,20.3,3.4,1.7,33.2
2004,0.1,9.4,8.3,20.1,29.6,31.7,35.6,31.2,22.8,15.7,9.5,-1.1,35.6
2005,0.6,-3.4,4.4,29.1,28.2,31.1,32.3,,,,,,

Средний,-1.2,0.7,7.8,19.6,27.0,30.6,30.8,29.2,24.3,15.2,5.4,0.2,32.2
Абсолют,5.6,9.4,17.3,29.1,33.4,35.6,38.8,37.2,31.9,24.7,13.5,8.6,38.8
Осадки,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,год
1881,13.2,2.6,3.5,8.4,17.6,105.1,83.8,71.6,30.3,15.7,22.3,4.1,378.2
1882,11.4,4.7,7.4,7.3,56.8,92.1,23.9,34.1,40.8,7.1,38.9,17.2,341.7
1883,12.0,3.7,14.7,5.3,24.2,62.8,34.2,40.6,10.3,39.3,7.1,4.3,258.5
1884,2.5,10.0,3.2,31.5,33.2,50.7,34.7,85.6,49.7,25.4,12.6,19.1,358.2
1885,9.7,5.9,2.9,4.3,22.9,81.3,37.0,78.8,99.0,7.0,28.2,6.2,383.2
1886,2.4,2.1,9.5,5.6,32.0,86.5,85.2,97.4,47.5,23.9,23.9,6.7,422.7
1887,2.5,4.0,21.4,18.8,46.6,79.5,106.3,90.8,17.7,96.1,15.4,18.2,517.3
1888,22.5,0.5,36.2,24.5,83.0,71.8,66.0,38.1,60.2,59.2,38.2,16.7,516.9
1889,3.5,20.2,14.5,38.6,21.7,148.0,20.2,98.0,6.8,47.8,4.8,9.0,433.1
1890,26.2,7.4,8.6,19.8,97.4,16.5,45.0,45.8,39.0,48.7,48.2,4.3,406.9
1891,2.3,2.8,13.4,12.3,54.5,41.9,37.9,41.1,78.4,61.1,26.4,15.5,387.6
1892,15.7,11.3,5.0,17.0,52.1,29.6,90.9,132.9,42.7,42.1,24.8,23.1,487.2
1893,2.9,9.3,19.9,22.4,19.5,106.6,81.4,41.0,18.3,32.2,29.1,13.4,396.0
1894,6.6,17.2,24.1,17.9,52.4,97.3,42.8,32.0,53.6,12.7,32.9,11.4,400.9
1895,21.1,21.9,5.6,17.7,57.8,57.2,79.5,59.4,36.7,7.6,47.8,21.5,433.8
1896,15.1,4.0,1.2,2.8,46.3,111.1,145.2,45.4,15.5,13.5,45.8,19.4,465.3
1897,7.1,25.4,10.9,32.3,12.3,39.9,23.0,57.1,36.6,30.9,15.9,12.6,304.0
1898,7.5,2.5,11.3,25.2,26.3,53.7,56.7,57.0,50.1,54.8,54.5,12.7,412.3
1899,11.5,19.6,19.0,43.5,51.2,90.4,31.5,22.5,16.2,33.8,48.1,24.7,412.0
1900,2.7,10.1,26.2,15.1,46.2,135.5,75.3,138.3,60.2,12.0,5.4,15.0,542.0
1901,11.9,13.4,25.1,11.8,25.5,35.6,39.8,86.4,21.8,5.4,29.0,70.7,376.4
1902,49.0,9.2,10.4,26.9,41.2,66.3,67.5,44.2,34.5,64.1,17.3,21.8,452.4
1903,22.0,12.9,2.2,4.8,96.8,62.1,82.3,14.5,56.3,21.0,9.5,12.2,396.6
1904,15.8,26.7,0.1,0.0,41.2,34.0,65.9,91.7,27.1,8.5,35.8,30.0,376.8
1905,11.1,5.9,3.1,52.8,100.4,39.6,79.3,82.0,14.7,30.9,13.7,22.6,456.1
1906,21.5,6.4,22.0,22.6,42.0,64.6,68.8,59.6,60.1,5.1,24.1,9.1,405.9
1907,28.5,8.8,5.3,9.5,33.7,50.7,56.1,77.6,17.4,26.0,26.5,81.0,421.1
1908,16.1,4.8,3.9,4.2,89.8,59.7,212.6,69.5,59.8,23.5,20.3,29.3,593.5
1909,11.4,6.7,0.7,30.3,41.5,69.1,93.2,42.2,5.3,6.1,41.4,23.1,371.0
1910,29.3,2.0,10.7,12.6,26.4,63.7,87.6,125.9,10.3,35.6,28.6,23.2,455.9
1911,12.7,12.0,3.1,9.8,37.8,44.9,40.8,107.9,79.4,18.0,33.1,14.1,413.6
1912,16.3,18.9,7.2,18.1,63.3,20.0,44.8,69.9,9.1,70.6,36.1,24.1,398.4
1913,34.9,13.2,26.1,4.3,60.1,78.8,86.5,36.8,32.7,76.9,14.4,31.0,495.7
1914,11.0,27.3,24.3,64.6,33.2,75.8,31.3,81.1,55.3,13.2,47.4,10.7,475.2
1915,20.6,12.6,26.0,39.4,55.5,99.3,83.3,76.5,49.6,26.6,21.7,51.9,563.0
1916,9.8,8.9,9.1,4.8,44.9,42.1,173.9,70.0,66.5,17.4,16.8,12.9,477.1
1917,17.9,20.0,27.8,18.9,27.4,48.1,42.1,48.0,52.6,5.6,19.8,29.3,357.5
1918,25.2,11.1,18.2,7.7,68.2,95.9,47.9,72.7,69.1,42.5,22.3,5.9,486.7
1919,29.7,17.1,15.1,11.5,31.2,23.7,47.2,88.7,52.2,38.1,38.8,11.6,404.9
1920,16.7,6.2,2.6,1.1,19.7,62.5,90.2,30.5,15.9,53.0,9.6,11.6,319.6
1921,26.0,16.6,12.8,7.3,23.3,96.4,85.7,84.4,66.8,61.1,8.6,16.6,505.6
1922,9.5,13.5,26.6,13.5,75.5,93.2,44.5,53.2,47.5,35.2,30.5,6.4,449.1
1923,5.0,18.2,20.8,40.4,42.9,30.8,84.3,47.8,25.8,35.9,27.6,16.8,396.3
1924,20.2,5.4,26.3,24.8,27.5,51.3,92.4,55.2,38.1,25.2,34.6,16.3,417.3
1925,23.4,15.9,51.9,6.4,111.7,55.7,61.1,22.4,55.1,19.7,35.7,36.3,495.3
1926,13.7,6.2,34.6,42.5,61.2,98.8,92.0,109.4,35.6,34.5,22.5,45.3,596.3
1927,14.5,7.2,24.8,49.1,101.5,40.5,145.8,42.3,63.5,99.3,16.2,18.2,622.9
1928,11.8,7.0,13.5,13.7,40.4,64.9,144.4,90.8,55.5,64.9,35.6,4.5,547.0
1929,5.6,14.6,28.6,29.8,48.4,68.8,32.5,26.0,31.7,17.0,13.5,5.7,322.2
1930,19.5,16.0,26.6,9.3,34.7,96.2,80.7,74.8,32.1,29.7,21.8,44.2,485.6
1931,4.0,2.3,3.5,1.8,10.9,51.6,51.6,168.5,30.2,18.4,26.4,18.6,387.8
1932,24.0,21.3,26.1,8.3,75.8,27.0,117.8,30.5,50.0,43.4,10.5,28.7,463.4
1933,13.3,12.6,7.2,41.7,42.6,84.6,69.2,73.5,25.9,11.5,26.3,28.2,436.6
1934,8.1,33.2,17.8,7.4,26.9,79.2,56.8,18.4,107.6,15.9,3.6,12.6,387.5
1935,5.1,13.0,5.6,51.7,46.1,33.5,86.2,134.1,46.1,34.1,9.6,4.6,469.7
1936,12.8,19.8,25.8,20.4,28.4,65.1,49.0,9.8,41.6,34.8,26.5,24.5,358.5
1937,9.8,4.9,27.4,27.2,42.5,159.6,131.2,212.4,9.8,18.0,24.4,51.9,719.1
1938,,,,,,,,,,,,,
1939,11.2,12.0,22.0,25.3,36.9,31.6,37.3,79.7,52.3,22.0,11.0,13.3,354.6
1940,12.6,11.5,29.1,27.9,37.5,57.5,52.9,42.3,17.8,24.1,22.8,34.8,370.8
1941,8.4,6.9,32.0,38.2,60.5,50.3,84.0,51.5,51.7,36.6,10.5,19.8,450.4
1942,18.4,4.1,15.9,14.8,33.5,140.4,39.3,85.2,94.4,41.7,36.7,21.7,546.1
1943,14.8,4.4,7.5,19.2,31.9,104.9,148.3,177.2,31.0,4.6,14.3,11.8,569.9
1944,15.6,12.7,14.3,10.9,28.6,57.1,108.0,48.7,10.6,24.0,19.2,1.5,351.2
1945,3.9,4.1,22.4,25.9,89.6,103.2,120.7,17.4,115.9,22.0,6.4,58.1,589.6
1946,5.8,28.9,6.0,22.2,19.7,34.3,107.0,78.4,58.5,52.3,15.4,10.5,439.0
1947,6.6,4.3,22.7,24.1,32.3,77.6,102.8,101.0,26.7,11.4,36.4,25.8,471.7
1948,18.2,6.6,19.5,21.6,8.6,76.8,84.8,63.2,51.7,7.4,11.3,16.8,386.5
1949,4.6,27.0,3.4,37.3,27.5,20.0,72.6,71.5,42.0,9.7,8.4,20.9,344.9
1950,20.5,3.4,10.8,38.4,28.4,30.8,221.1,155.8,68.6,20.4,46.4,11.7,656.3
1951,9.0,1.8,32.6,3.9,59.1,9.1,43.7,123.5,31.3,37.8,11.3,18.8,381.9
1952,8.4,7.1,11.7,40.1,39.6,49.3,34.7,31.1,32.1,62.2,28.6,9.4,354.3
1953,31.5,35.8,12.1,7.0,64.9,27.5,38.1,16.0,119.0,82.1,44.8,26.8,505.6
1954,17.2,1.2,13.8,17.5,42.6,26.1,63.6,52.7,38.5,10.5,31.2,17.6,332.5
1955,7.8,30.6,11.9,1.6,51.8,22.7,103.1,211.5,24.2,9.8,17.9,42.6,535.5
1956,25.5,16.0,9.3,59.3,13.2,56.0,83.1,41.6,38.7,52.0,56.3,31.8,482.8
1957,14.2,6.3,32.4,17.6,1.8,25.9,90.3,89.2,9.7,51.3,,,338.7
1958,,,,,,,,,,,,,
1959,,,,,,,,,,,,,
1960,,,,,,,,,,,,,
1961,,,,,,,,,,,,,
1962,,,,,,,,,,,,,
1963,,,,,,,,,,,,,
1964,,,,,,,,,,,,,
1965,,,,,,,,,,,,9.4,
1966,21.3,75.1,17.6,15.6,66.9,105.1,58.7,63.1,26.0,58.4,23.6,9.5,540.9
1967,9.1,3.4,9.3,3.2,24.2,61.0,177.4,46.4,56.3,12.8,3.9,18.4,425.4
1968,43.6,10.4,11.9,34.4,61.5,106.7,114.8,16.3,19.7,21.0,50.7,44.8,535.8
1969,3.3,17.1,17.9,17.8,36.6,78.4,152.8,50.0,20.5,63.8,37.1,27.0,522.3
1970,31.0,11.1,21.6,30.4,54.7,52.3,69.8,193.5,26.0,68.9,36.2,16.4,611.9
1971,12.3,22.0,20.1,12.6,50.1,92.0,80.0,80.7,14.3,58.7,20.0,40.0,502.8
1972,13.9,8.6,17.3,23.6,23.2,119.0,81.5,37.2,56.7,52.8,47.5,20.2,501.5
1973,18.8,18.4,18.3,11.1,14.7,85.9,93.0,57.4,62.6,20.4,21.2,17.6,439.4
1974,8.8,18.3,12.9,16.6,22.8,66.8,58.7,40.3,5.3,26.7,27.3,2.3,306.8
1975,26.3,23.4,25.0,17.9,44.2,9.9,26.5,79.4,19.0,52.1,12.2,18.7,354.6
1976,46.5,9.8,1.6,8.2,40.7,42.6,96.9,57.3,36.6,20.9,24.5,7.4,393.0
1977,13.9,33.5,21.8,71.8,74.4,73.2,37.2,35.5,11.3,36.8,13.4,31.7,454.5
1978,13.1,16.0,8.4,36.7,56.3,79.1,168.0,83.9,41.7,40.9,23.5,37.9,605.5
1979,37.7,57.1,13.9,28.6,31.0,39.1,56.9,77.2,47.1,37.6,31.6,13.8,471.6
1980,9.0,4.2,16.8,45.5,52.4,34.9,119.1,43.4,75.5,45.9,33.3,16.5,496.5
1981,4.4,9.4,31.7,20.4,64.1,72.3,35.0,30.3,66.2,15.3,27.8,24.2,401.1
1982,37.2,11.4,16.5,19.5,11.7,129.1,57.1,43.8,85.7,86.0,12.5,21.2,531.7
1983,34.5,51.3,20.5,26.9,45.5,71.5,152.9,96.6,95.6,14.5,21.0,22.3,653.1
1984,8.0,1.2,3.8,11.9,66.3,60.0,50.6,145.2,79.9,74.9,56.6,9.4,567.8
1985,16.5,28.7,0.6,25.3,33.1,47.3,75.8,38.8,31.0,25.7,38.6,57.0,418.4
1986,14.3,39.5,7.3,12.2,63.1,168.3,83.3,80.8,60.1,25.0,44.1,16.4,614.4
1987,66.3,19.1,5.2,47.8,43.2,54.0,58.1,53.9,229.0,19.5,20.4,15.0,631.5
1988,8.1,6.3,9.5,77.3,40.7,18.5,55.5,18.9,72.2,8.8,37.3,29.3,382.4
1989,20.6,13.5,15.5,35.7,25.5,50.9,20.2,63.8,48.4,70.9,24.0,22.4,411.4
1990,33.2,17.5,22.5,35.5,56.4,116.6,121.4,67.3,85.4,72.2,43.1,18.6,689.7
1991,24.5,11.3,44.6,5.5,17.6,81.0,170.3,83.6,57.4,27.6,21.6,27.8,572.8
1992,47.1,20.5,13.4,61.4,21.6,19.0,138.9,87.7,6.3,25.0,31.8,7.1,479.8
1993,26.9,15.9,8.0,18.5,65.1,42.0,227.6,93.4,47.6,38.5,16.5,15.6,615.6
1994,13.6,11.0,8.8,13.7,19.4,60.4,209.2,125.0,34.1,14.2,33.5,32.1,575.0
1995,4.7,13.2,13.4,7.1,39.9,74.7,40.6,32.2,19.3,26.3,39.8,59.2,370.4
1996,9,7,5,14,46,73,112,14,63,39,9,13,404
1997,40,13,56,44,64,93,65,143,40,68,30,40,696
1998,17,34,10,35,34,113,166,42,44,76,86,31,688
1999,40,23,20,8,61,48,43,60,70,39,25,45,482
2000,32,16,15,36,76,37,63,?,40,19,21,45,400
2001,76,26,47,2,70,112,49,62,74,68,30,9,625
2002,25,23,24,3,78,96,43,79,43,73,73,25,585
2003,9,19,6,9,60,138,83,55,39,24,12,12,466
2004,10,15,22,72,26,71,79,,,,,42,337
2005,8,5,51,6,70,115,43,,,,,,

Средняя многолетн,17.5,14.3,16.6,22.4,45.1,68.1,81.3,70.4,45.8,35.2,26.9,22.1,462.9
Средняя 1961-1990,22.1,21.1,14.7,27.5,44.1,73.4,84.0,64.0,54.9,41.2,29.3,21.8,498.6
Средняя 1991-2004,25.5,16.9,22.9,22.3,49.9,78.2,102.2,73.1,44.4,41.4,33.0,28.8,521.2


Самый влажный,76.0,75.1,56.0,77.3,111.7,168.3,227.6,212.4,229.0,99.3,86.0,81.0,719.1
Самый сухой,2.3,0.5,0.1,0.0,1.8,9.1,20.2,9.8,5.3,4.6,3.6,1.5,258.5
